,time,PM2.5,humidity,temperature
47,2021-10-04 09:00:00,4.1,100.0,25.1
48,2021-10-04 10:00:00,6.2,100.0,26.1
49,2021-10-04 11:00:00,7.4,99.5,27.7
50,2021-10-04 12:00:00,11.9,92.6,29.4
51,2021-10-04 13:00:00,15.6,86.6,30.7
52,2021-10-04 14:00:00,13.0,84.3,31.0
53,2021-10-04 15:00:00,13.3,82.5,31.4
54,2021-10-04 16:00:00,12.6,82.8,31.4
55,2021-10-04 17:00:00,5.2,92.7,28.5
56,2021-10-04 18:00:00,3.8,100.0,26.4
57,2021-10-04 19:00:00,3.9,100.0,26.6
58,2021-10-04 20:00:00,4.3,100.0,26.8
59,2021-10-04 21:00:00,5.6,100.0,26.8
60,2021-10-04 22:00:00,7.9,100.0,26.7
61,2021-10-04 23:00:00,8.3,100.0,26.8
62,2021-10-05 00:00:00,8.4,100.0,26.7
63,2021-10-05 01:00:00,7.8,100.0,26.6
64,2021-10-05 02:00:00,7.5,100.0,26.5
65,2021-10-05 03:00:00,9.3,100.0,26.7
66,2021-10-05 04:00:00,8.9,100.0,26.6
67,2021-10-05 05:00:00,8.3,100.0,26.5
68,2021-10-05 06:00:00,10.0,100.0,26.6
69,2021-10-05 07:00:00,10.5,100.0,26.8
70,2021-10-05 08:00:00,10.1,99.5,27.5
71,2021-10-05 09:00:00,10.7,95.4,28.5
72,2021-10-05 10:00:00,12.4,90.4,29.8
73,2021-10-05 11:00:00,9.5,79.8,31.2
74,2021-10-05 12:00:00,7.6,71.3,32.5
75,2021-10-05 13:00:00,6.5,68.5,32.8
76,2021-10-05 14:00:00,7.4,69.3,33.0
77,2021-10-05 15:00:00,7.1,72.0,32.5
78,2021-10-05 16:00:00,6.6,75.8,32.0
79,2021-10-05 17:00:00,8.6,78.5,31.6
80,2021-10-05 18:00:00,9.0,81.2,30.9
81,2021-10-05 19:00:00,12.2,84.5,30.4
82,2021-10-05 20:00:00,8.3,91.2,29.5
83,2021-10-05 21:00:00,6.4,90.1,29.5
84,2021-10-05 22:00:00,5.0,90.1,29.3
85,2021-10-05 23:00:00,5.0,95.2,28.8
86,2021-10-06 00:00:00,5.5,94.0,29.0
87,2021-10-06 01:00:00,5.0,97.3,28.6
88,2021-10-06 02:00:00,5.4,99.5,28.3
89,2021-10-06 03:00:00,4.9,99.8,28.0
90,2021-10-06 04:00:00,5.9,100.0,27.9
91,2021-10-06 05:00:00,7.3,100.0,27.7
92,2021-10-06 06:00:00,9.2,100.0,27.6
93,2021-10-06 07:00:00,11.2,100.0,27.7
94,2021-10-06 08:00:00,11.8,97.9,28.4
95,2021-10-06 09:00:00,13.9,94.5,29.2
96,2021-10-06 10:00:00,16.2,90.8,29.9
97,2021-10-06 11:00:00,17.2,86.7,30.9
98,2021-10-06 12:00:00,16.3,82.5,31.8
99,2021-10-06 13:00:00,16.8,75.2,32.8
100,2021-10-06 14:00:00,13.5,70.8,33.8
101,2021-10-06 15:00:00,11.5,68.8,33.9
102,2021-10-06 16:00:00,11.8,68.9,33.7
103,2021-10-06 17:00:00,16.2,77.8,32.0
104,2021-10-06 18:00:00,25.3,85.3,30.6
105,2021-10-06 19:00:00,22.0,86.3,30.1
106,2021-10-06 20:00:00,23.3,87.8,29.9
107,2021-10-06 21:00:00,17.8,86.7,30.0
108,2021-10-06 22:00:00,15.9,86.3,29.8
109,2021-10-06 23:00:00,14.2,89.9,29.2
110,2021-10-07 00:00:00,13.3,92.5,28.6
111,2021-10-07 01:00:00,13.1,97.3,28.5
112,2021-10-07 02:00:00,18.9,97.5,28.3
113,2021-10-07 03:00:00,17.7,98.0,28.2
114,2021-10-07 04:00:00,21.5,98.7,28.1
115,2021-10-07 05:00:00,22.7,98.4,27.9
116,2021-10-07 06:00:00,20.3,99.5,27.6
117,2021-10-07 07:00:00,20.7,99.4,27.9
118,2021-10-07 08:00:00,18.2,98.4,28.4
119,2021-10-07 09:00:00,22.3,96.0,29.1
120,2021-10-07 10:00:00,28.2,91.5,30.4
121,2021-10-07 11:00:00,25.1,85.5,31.6
122,2021-10-07 12:00:00,19.4,77.7,32.8
123,2021-10-07 13:00:00,15.6,65.3,34.1
124,2021-10-07 14:00:00,13.0,65.1,33.9
125,2021-10-07 15:00:00,10.8,63.8,34.8
126,2021-10-07 16:00:00,10.9,65.6,34.4
127,2021-10-07 17:00:00,24.0,69.4,33.7
128,2021-10-07 18:00:00,23.0,74.9,32.2
129,2021-10-07 19:00:00,28.9,80.2,31.2
130,2021-10-07 20:00:00,25.7,84.8,30.6
131,2021-10-07 21:00:00,26.3,87.0,30.4
132,2021-10-07 22:00:00,31.8,90.7,30.1
133,2021-10-07 23:00:00,34.2,92.7,29.8
134,2021-10-08 00:00:00,22.5,91.5,29.5
135,2021-10-08 01:00:00,20.8,93.9,29.2
136,2021-10-08 02:00:00,20.6,92.9,29.2
137,2021-10-08 03:00:00,24.4,96.0,28.9
138,2021-10-08 04:00:00,25.8,97.0,28.6
139,2021-10-08 05:00:00,21.1,98.0,28.5
140,2021-10-08 06:00:00,19.5,97.4,28.2
141,2021-10-08 07:00:00,19.0,93.9,28.5
142,2021-10-08 08:00:00,17.0,78.9,29.3
143,2021-10-08 09:00:00,15.8,70.1,30.8
144,2021-10-08 10:00:00,16.4,66.0,31.2
145,2021-10-08 11:00:00,15.7,63.7,32.3
146,2021-10-08 12:00:00,14.2,64.5,32.3
147,2021-10-08 13:00:00,12.3,62.6,33.6
148,2021-10-08 14:00:00,10.5,59.6,34.4
149,2021-10-08 15:00:00,9.8,59.1,34.9
150,2021-10-08 16:00:00,10.9,60.5,34.5
151,2021-10-08 17:00:00,13.8,63.9,33.8
152,2021-10-08 18:00:00,17.4,67.1,32.5
153,2021-10-08 19:00:00,17.9,71.8,31.5
154,2021-10-08 20:00:00,18.0,70.9,31.1
155,2021-10-08 21:00:00,22.6,74.4,30.7
156,2021-10-08 22:00:00,21.0,77.2,30.1
157,2021-10-08 23:00:00,15.0,80.7,29.6
158,2021-10-09 00:00:00,9.3,79.4,29.4
159,2021-10-09 01:00:00,9.9,73.8,29.7
160,2021-10-09 02:00:00,13.5,70.8,30.2
161,2021-10-09 03:00:00,10.6,71.9,29.9
162,2021-10-09 04:00:00,7.6,74.5,29.5
163,2021-10-09 05:00:00,7.9,74.7,29.4
164,2021-10-09 06:00:00,9.8,76.9,29.2
165,2021-10-09 07:00:00,20.2,86.2,29.0
166,2021-10-09 08:00:00,21.7,87.3,29.2
167,2021-10-09 09:00:00,32.2,87.2,29.4
