,time,PM2.5,humidity,temperature
42,2021-07-02 10:00:00,4.4,63.8,36.9
43,2021-07-02 11:00:00,4.2,61.6,37.9
44,2021-07-02 12:00:00,3.5,60.5,38.1
45,2021-07-02 13:00:00,3.0,59.8,38.4
46,2021-07-02 14:00:00,2.5,57.1,39.3
47,2021-07-02 15:00:00,1.9,57.7,38.9
48,2021-07-02 16:00:00,2.3,57.4,39.1
49,2021-07-02 17:00:00,2.6,59.2,38.4
50,2021-07-02 18:00:00,3.2,60.3,37.9
51,2021-07-02 19:00:00,4.8,66.8,36.6
52,2021-07-02 20:00:00,9.4,72.0,35.7
53,2021-07-02 21:00:00,7.9,74.7,35.3
54,2021-07-02 22:00:00,11.7,80.7,34.5
55,2021-07-02 23:00:00,13.0,83.6,34.0
56,2021-07-03 00:00:00,14.1,87.2,33.2
57,2021-07-03 01:00:00,16.4,89.3,32.9
58,2021-07-03 02:00:00,14.0,91.3,32.7
59,2021-07-03 03:00:00,7.9,87.5,33.0
60,2021-07-03 04:00:00,6.9,87.0,32.8
61,2021-07-03 05:00:00,6.1,85.0,32.8
62,2021-07-03 06:00:00,5.0,81.2,32.9
63,2021-07-03 07:00:00,4.7,76.9,33.4
64,2021-07-03 08:00:00,3.8,68.4,34.9
65,2021-07-03 09:00:00,3.9,62.0,37.3
66,2021-07-03 10:00:00,5.9,59.7,38.3
67,2021-07-03 11:00:00,7.0,58.0,39.7
68,2021-07-03 12:00:00,6.7,55.8,40.3
69,2021-07-03 13:00:00,6.4,57.5,39.4
70,2021-07-03 14:00:00,5.7,57.8,39.3
71,2021-07-03 15:00:00,5.5,56.3,39.8
72,2021-07-03 16:00:00,4.7,57.6,39.5
73,2021-07-03 17:00:00,4.7,60.4,38.5
74,2021-07-03 18:00:00,6.2,63.0,37.6
75,2021-07-03 19:00:00,11.4,67.5,36.5
76,2021-07-03 20:00:00,62.91,79.7,35.5
77,2021-07-03 21:00:00,53.22,80.0,34.8
78,2021-07-03 22:00:00,6.0,75.3,33.8
79,2021-07-03 23:00:00,5.3,76.1,33.3
80,2021-07-04 00:00:00,5.4,78.4,33.2
81,2021-07-04 01:00:00,3.6,84.2,32.6
82,2021-07-04 02:00:00,2.8,91.2,32.1
83,2021-07-04 03:00:00,3.2,95.4,31.8
84,2021-07-04 04:00:00,3.2,97.4,31.6
85,2021-07-04 05:00:00,3.2,99.2,31.4
86,2021-07-04 06:00:00,3.0,99.9,31.3
87,2021-07-04 07:00:00,4.4,99.4,31.8
88,2021-07-04 08:00:00,6.7,96.0,32.7
89,2021-07-04 09:00:00,11.3,83.1,35.4
90,2021-07-04 10:00:00,12.2,77.4,36.2
91,2021-07-04 11:00:00,13.0,73.1,36.8
92,2021-07-04 12:00:00,11.9,68.5,37.8
93,2021-07-04 13:00:00,7.1,61.9,38.5
94,2021-07-04 14:00:00,6.7,59.8,39.1
95,2021-07-04 15:00:00,6.1,61.2,38.7
96,2021-07-04 16:00:00,7.2,62.8,38.4
97,2021-07-04 17:00:00,7.5,66.3,37.9
98,2021-07-04 18:00:00,5.9,80.0,35.5
99,2021-07-04 19:00:00,8.0,82.5,34.3
100,2021-07-04 20:00:00,10.1,85.6,33.3
101,2021-07-04 21:00:00,9.1,88.1,32.8
102,2021-07-04 22:00:00,6.0,89.7,32.4
103,2021-07-04 23:00:00,5.0,93.2,32.0
104,2021-07-05 00:00:00,5.6,95.9,31.7
105,2021-07-05 01:00:00,5.0,97.4,31.6
106,2021-07-05 02:00:00,3.2,99.2,31.4
107,2021-07-05 03:00:00,3.0,100.0,31.2
108,2021-07-05 04:00:00,3.4,100.0,31.1
109,2021-07-05 05:00:00,2.9,100.0,31.1
110,2021-07-05 06:00:00,3.3,100.0,31.0
111,2021-07-05 07:00:00,3.0,100.0,31.5
112,2021-07-05 08:00:00,4.0,95.0,32.7
113,2021-07-05 09:00:00,5.6,85.6,34.5
114,2021-07-05 10:00:00,5.4,93.2,32.0
115,2021-07-05 11:00:00,2.9,100.0,27.0
116,2021-07-05 12:00:00,2.9,100.0,24.5
117,2021-07-05 13:00:00,2.9,100.0,26.5
118,2021-07-05 14:00:00,2.9,100.0,28.6
119,2021-07-05 15:00:00,1.5,97.8,29.5
120,2021-07-05 16:00:00,2.9,84.0,32.0
121,2021-07-05 17:00:00,2.8,85.7,31.9
122,2021-07-05 18:00:00,4.2,88.9,31.3
123,2021-07-05 19:00:00,5.0,87.0,31.3
124,2021-07-05 20:00:00,5.2,93.0,30.7
125,2021-07-05 21:00:00,7.0,94.2,30.6
126,2021-07-05 22:00:00,8.6,95.6,30.5
127,2021-07-05 23:00:00,6.0,95.1,30.5
128,2021-07-06 00:00:00,8.8,96.5,30.3
129,2021-07-06 01:00:00,5.4,97.7,30.1
130,2021-07-06 02:00:00,8.5,98.5,30.1
131,2021-07-06 03:00:00,7.9,99.9,30.1
132,2021-07-06 04:00:00,7.9,100.0,30.2
133,2021-07-06 05:00:00,9.8,100.0,30.0
134,2021-07-06 06:00:00,11.6,100.0,30.0
135,2021-07-06 07:00:00,12.1,100.0,30.3
136,2021-07-06 08:00:00,9.4,98.5,30.1
137,2021-07-06 09:00:00,4.5,83.1,32.6
138,2021-07-06 10:00:00,3.0,77.3,34.5
139,2021-07-06 11:00:00,2.4,75.7,35.4
140,2021-07-06 12:00:00,3.3,72.6,35.8
141,2021-07-06 13:00:00,2.8,69.4,35.6
142,2021-07-06 14:00:00,2.3,70.9,35.8
143,2021-07-06 15:00:00,2.1,73.4,35.5
144,2021-07-06 16:00:00,2.0,71.7,35.7
145,2021-07-06 17:00:00,1.8,71.6,35.4
146,2021-07-06 18:00:00,2.8,72.3,35.2
147,2021-07-06 19:00:00,4.3,76.7,34.0
148,2021-07-06 20:00:00,7.4,83.1,32.9
149,2021-07-06 21:00:00,6.0,85.3,32.4
150,2021-07-06 22:00:00,5.8,88.8,31.9
151,2021-07-06 23:00:00,5.2,90.1,31.6
152,2021-07-07 00:00:00,5.1,90.1,31.7
153,2021-07-07 01:00:00,4.2,90.0,31.6
154,2021-07-07 02:00:00,3.9,89.7,31.5
155,2021-07-07 03:00:00,4.0,89.5,31.5
156,2021-07-07 04:00:00,3.6,88.6,31.4
157,2021-07-07 05:00:00,3.2,90.4,31.3
158,2021-07-07 06:00:00,4.0,91.0,31.4
159,2021-07-07 07:00:00,11.1,90.2,32.0
160,2021-07-07 08:00:00,20.0,88.7,32.9
161,2021-07-07 09:00:00,19.3,80.7,34.6
162,2021-07-07 10:00:00,11.7,70.0,37.3
163,2021-07-07 11:00:00,9.7,67.4,37.6
164,2021-07-07 12:00:00,14.4,72.9,35.7
165,2021-07-07 13:00:00,16.5,76.2,35.1
166,2021-07-07 14:00:00,12.9,68.8,36.9
167,2021-07-07 15:00:00,12.3,76.1,34.7
