,time,PM2.5,humidity,temperature
46,2021-11-28 16:00:00,50.8,49.9,24.4
47,2021-11-28 17:00:00,53.7,51.9,24.2
48,2021-11-28 18:00:00,79.7,56.3,23.5
49,2021-11-28 19:00:00,106.9,61.3,22.8
50,2021-11-28 20:00:00,124.4,61.4,22.8
51,2021-11-28 21:00:00,148.8,64.7,22.5
52,2021-11-28 22:00:00,131.2,65.5,22.2
53,2021-11-28 23:00:00,124.0,69.3,21.7
54,2021-11-29 00:00:00,174.1,69.1,21.3
55,2021-11-29 01:00:00,183.1,72.9,20.9
56,2021-11-29 02:00:00,156.3,68.7,21.0
57,2021-11-29 03:00:00,100.4,71.5,20.5
58,2021-11-29 04:00:00,112.5,79.5,20.0
59,2021-11-29 05:00:00,111.5,85.9,19.4
60,2021-11-29 06:00:00,90.1,89.7,19.0
61,2021-11-29 07:00:00,78.7,89.1,19.1
62,2021-11-29 08:00:00,71.0,84.4,19.7
63,2021-11-29 09:00:00,77.0,79.4,20.9
64,2021-11-29 10:00:00,75.9,69.4,22.2
65,2021-11-29 11:00:00,76.7,57.5,23.6
66,2021-11-29 12:00:00,96.0,58.8,24.2
67,2021-11-29 13:00:00,95.2,54.8,25.0
68,2021-11-29 14:00:00,72.8,51.2,25.5
69,2021-11-29 15:00:00,57.7,49.6,26.0
70,2021-11-29 16:00:00,56.9,49.6,26.2
71,2021-11-29 17:00:00,66.6,51.8,26.0
72,2021-11-29 18:00:00,72.3,52.2,25.3
73,2021-11-29 19:00:00,76.2,52.9,24.9
74,2021-11-29 20:00:00,102.9,54.3,24.6
75,2021-11-29 21:00:00,114.0,56.7,24.2
76,2021-11-29 22:00:00,150.3,67.3,22.7
77,2021-11-29 23:00:00,85.5,71.7,22.2
78,2021-11-30 00:00:00,74.3,72.0,22.3
79,2021-11-30 01:00:00,76.9,71.2,22.2
80,2021-11-30 02:00:00,100.8,75.1,21.7
81,2021-11-30 03:00:00,113.0,76.5,21.2
82,2021-11-30 04:00:00,62.3,67.0,21.6
83,2021-11-30 05:00:00,37.8,61.7,21.6
84,2021-11-30 06:00:00,41.6,62.4,21.2
85,2021-11-30 07:00:00,45.9,62.7,21.0
86,2021-11-30 08:00:00,48.1,61.4,21.3
87,2021-11-30 09:00:00,46.2,59.0,21.6
88,2021-11-30 10:00:00,43.2,54.1,22.1
89,2021-11-30 11:00:00,39.9,52.0,22.8
90,2021-11-30 12:00:00,38.2,51.5,23.4
91,2021-11-30 13:00:00,32.8,50.5,23.7
92,2021-11-30 14:00:00,27.6,48.9,24.2
93,2021-11-30 15:00:00,25.9,47.9,24.6
94,2021-11-30 16:00:00,50.9,49.6,24.6
95,2021-11-30 17:00:00,34.4,51.4,24.2
96,2021-11-30 18:00:00,53.8,58.6,23.4
97,2021-11-30 19:00:00,69.1,63.8,22.6
98,2021-11-30 20:00:00,72.7,67.6,21.9
99,2021-11-30 21:00:00,71.8,70.0,21.6
100,2021-11-30 22:00:00,71.5,68.0,21.4
101,2021-11-30 23:00:00,64.0,60.7,20.9
102,2021-12-01 00:00:00,52.5,60.4,20.3
103,2021-12-01 01:00:00,46.1,57.2,20.0
104,2021-12-01 02:00:00,42.1,56.7,19.8
105,2021-12-01 03:00:00,38.3,58.1,19.5
106,2021-12-01 04:00:00,35.4,59.1,19.2
107,2021-12-01 05:00:00,40.3,60.4,18.8
108,2021-12-01 06:00:00,39.9,60.2,18.6
109,2021-12-01 07:00:00,41.1,59.3,18.5
110,2021-12-01 08:00:00,40.3,55.7,18.8
111,2021-12-01 09:00:00,35.8,50.8,19.3
112,2021-12-01 10:00:00,33.7,47.0,19.8
113,2021-12-01 11:00:00,36.1,46.6,20.2
114,2021-12-01 12:00:00,36.3,45.4,20.8
115,2021-12-01 13:00:00,31.4,40.9,21.8
116,2021-12-01 14:00:00,28.0,38.3,22.3
117,2021-12-01 15:00:00,27.8,37.8,22.5
118,2021-12-01 16:00:00,27.9,37.8,22.6
119,2021-12-01 17:00:00,27.7,37.7,22.3
120,2021-12-01 18:00:00,34.9,39.7,21.9
121,2021-12-01 19:00:00,46.1,41.1,21.7
122,2021-12-01 20:00:00,71.5,42.5,21.3
123,2021-12-01 21:00:00,84.2,44.0,20.8
124,2021-12-01 22:00:00,77.9,56.2,19.3
125,2021-12-01 23:00:00,74.6,60.0,18.8
126,2021-12-02 00:00:00,83.4,61.8,18.5
127,2021-12-02 01:00:00,92.7,63.4,18.2
128,2021-12-02 02:00:00,78.6,55.4,17.7
129,2021-12-02 03:00:00,71.6,54.7,17.1
130,2021-12-02 04:00:00,68.5,54.1,16.9
131,2021-12-02 05:00:00,66.4,58.7,16.6
132,2021-12-02 06:00:00,84.3,63.5,15.9
133,2021-12-02 07:00:00,79.4,62.3,15.8
134,2021-12-02 08:00:00,57.4,53.1,16.7
135,2021-12-02 09:00:00,52.1,47.6,17.4
136,2021-12-02 10:00:00,38.2,40.9,18.4
137,2021-12-02 11:00:00,38.9,36.6,19.3
138,2021-12-02 12:00:00,36.4,34.5,20.2
139,2021-12-02 13:00:00,28.1,31.8,20.9
140,2021-12-02 14:00:00,22.9,29.9,21.6
141,2021-12-02 15:00:00,21.4,29.2,21.8
142,2021-12-02 16:00:00,23.4,29.5,21.9
143,2021-12-02 17:00:00,31.0,32.0,21.6
144,2021-12-02 18:00:00,48.8,34.3,21.0
145,2021-12-02 19:00:00,82.4,36.1,20.5
146,2021-12-02 20:00:00,105.7,39.9,20.0
147,2021-12-02 21:00:00,166.8,44.3,19.3
148,2021-12-02 22:00:00,182.0,54.3,18.4
149,2021-12-02 23:00:00,154.6,56.4,17.8
150,2021-12-03 00:00:00,164.0,54.7,18.0
151,2021-12-03 01:00:00,178.9,59.5,17.7
152,2021-12-03 02:00:00,145.0,63.7,17.0
153,2021-12-03 03:00:00,132.0,62.6,16.4
154,2021-12-03 04:00:00,116.2,70.6,15.7
155,2021-12-03 05:00:00,105.6,84.6,14.5
156,2021-12-03 06:00:00,85.3,80.8,14.3
157,2021-12-03 07:00:00,66.7,81.3,14.7
158,2021-12-03 08:00:00,78.8,80.0,15.2
159,2021-12-03 09:00:00,95.0,76.5,16.2
160,2021-12-03 10:00:00,90.3,68.1,17.8
161,2021-12-03 11:00:00,80.3,57.9,19.0
162,2021-12-03 12:00:00,62.2,46.4,20.5
163,2021-12-03 13:00:00,45.1,41.3,21.3
164,2021-12-03 14:00:00,30.0,35.7,22.1
165,2021-12-03 15:00:00,36.2,37.7,22.4
166,2021-12-03 16:00:00,43.3,39.8,22.3
167,2021-12-03 17:00:00,43.4,39.6,22.0
