,time,PM2.5,humidity,temperature
38,2021-07-01 06:00:00,3.6,80.7,32.2
39,2021-07-01 07:00:00,4.0,80.8,32.2
40,2021-07-01 08:00:00,4.2,79.9,32.6
41,2021-07-01 09:00:00,4.8,76.9,33.4
42,2021-07-01 10:00:00,5.8,73.5,34.2
43,2021-07-01 11:00:00,8.0,68.8,35.8
44,2021-07-01 12:00:00,4.8,67.7,36.0
45,2021-07-01 13:00:00,3.1,65.0,36.5
46,2021-07-01 14:00:00,2.5,62.4,37.4
47,2021-07-01 15:00:00,2.2,61.8,37.6
48,2021-07-01 16:00:00,2.4,64.7,36.9
49,2021-07-01 17:00:00,2.9,66.0,36.3
50,2021-07-01 18:00:00,3.4,66.4,35.9
51,2021-07-01 19:00:00,5.7,69.4,35.3
52,2021-07-01 20:00:00,6.3,73.8,35.0
53,2021-07-01 21:00:00,5.6,74.7,34.6
54,2021-07-01 22:00:00,7.4,78.3,34.1
55,2021-07-01 23:00:00,7.7,78.3,33.8
56,2021-07-02 00:00:00,7.2,78.7,33.5
57,2021-07-02 01:00:00,5.6,76.9,33.3
58,2021-07-02 02:00:00,4.9,77.3,33.1
59,2021-07-02 03:00:00,4.3,77.5,32.9
60,2021-07-02 04:00:00,53.75,77.2,32.7
61,2021-07-02 05:00:00,15.0,76.8,32.6
62,2021-07-02 06:00:00,6.0,77.2,32.5
63,2021-07-02 07:00:00,5.2,78.3,32.6
64,2021-07-02 08:00:00,5.6,76.5,32.9
65,2021-07-02 09:00:00,5.2,67.1,35.6
66,2021-07-02 10:00:00,4.4,63.5,36.5
67,2021-07-02 11:00:00,3.4,57.2,38.8
68,2021-07-02 12:00:00,2.5,56.6,38.9
69,2021-07-02 13:00:00,1.8,55.1,38.9
70,2021-07-02 14:00:00,1.1,54.3,39.0
71,2021-07-02 15:00:00,1.5,57.8,38.8
72,2021-07-02 16:00:00,1.4,57.2,38.7
73,2021-07-02 17:00:00,2.1,58.7,38.4
74,2021-07-02 18:00:00,3.3,60.6,37.6
75,2021-07-02 19:00:00,6.5,63.2,36.7
76,2021-07-02 20:00:00,8.5,69.0,36.1
77,2021-07-02 21:00:00,31.16,74.2,35.4
78,2021-07-02 22:00:00,14.4,75.5,35.2
79,2021-07-02 23:00:00,11.2,78.2,34.8
80,2021-07-03 00:00:00,10.3,80.9,34.4
81,2021-07-03 01:00:00,8.9,82.7,34.0
82,2021-07-03 02:00:00,8.5,83.9,33.8
83,2021-07-03 03:00:00,7.4,82.0,33.3
84,2021-07-03 04:00:00,4.5,78.7,33.0
85,2021-07-03 05:00:00,4.6,79.6,32.7
86,2021-07-03 06:00:00,4.9,76.1,32.6
87,2021-07-03 07:00:00,3.1,74.0,32.9
88,2021-07-03 08:00:00,3.3,69.4,33.9
89,2021-07-03 09:00:00,8.8,67.5,35.2
90,2021-07-03 10:00:00,7.0,60.8,37.5
91,2021-07-03 11:00:00,7.8,57.7,38.8
92,2021-07-03 12:00:00,7.1,55.9,39.1
93,2021-07-03 13:00:00,8.4,57.5,39.0
94,2021-07-03 14:00:00,6.6,57.9,38.6
95,2021-07-03 15:00:00,5.8,59.2,38.3
96,2021-07-03 16:00:00,5.5,60.5,38.1
97,2021-07-03 17:00:00,5.4,62.6,37.2
98,2021-07-03 18:00:00,6.4,62.8,36.8
99,2021-07-03 19:00:00,13.8,68.0,36.2
100,2021-07-03 20:00:00,52.24,79.8,35.2
101,2021-07-03 21:00:00,50.48,78.6,34.9
102,2021-07-03 22:00:00,37.67,76.0,35.0
103,2021-07-03 23:00:00,8.8,73.5,34.6
104,2021-07-04 00:00:00,7.5,76.2,34.1
105,2021-07-04 01:00:00,6.0,78.7,33.8
106,2021-07-04 02:00:00,4.7,83.5,33.3
107,2021-07-04 03:00:00,4.7,86.8,33.0
108,2021-07-04 04:00:00,8.6,89.9,32.7
109,2021-07-04 05:00:00,4.5,91.2,32.6
110,2021-07-04 06:00:00,4.8,92.4,32.3
111,2021-07-04 07:00:00,5.8,91.4,32.7
112,2021-07-04 08:00:00,8.2,88.8,33.2
113,2021-07-04 09:00:00,8.9,76.3,35.5
114,2021-07-04 10:00:00,9.1,69.6,37.3
115,2021-07-04 11:00:00,7.6,61.0,39.2
116,2021-07-04 12:00:00,8.1,61.0,38.4
117,2021-07-04 13:00:00,9.0,59.8,39.1
118,2021-07-04 14:00:00,9.1,57.3,39.7
119,2021-07-04 15:00:00,7.7,57.2,39.3
120,2021-07-04 16:00:00,5.4,57.5,39.1
121,2021-07-04 17:00:00,7.0,60.6,38.3
122,2021-07-04 18:00:00,6.9,71.4,37.1
123,2021-07-04 19:00:00,6.9,77.0,35.7
124,2021-07-04 20:00:00,8.7,78.1,34.8
125,2021-07-04 21:00:00,8.7,77.6,34.3
126,2021-07-04 22:00:00,7.8,80.4,33.9
127,2021-07-04 23:00:00,8.2,84.3,33.6
128,2021-07-05 00:00:00,7.7,85.4,33.2
129,2021-07-05 01:00:00,6.5,85.9,33.0
130,2021-07-05 02:00:00,5.8,88.2,32.8
131,2021-07-05 03:00:00,4.4,90.7,32.5
132,2021-07-05 04:00:00,4.3,91.2,32.5
133,2021-07-05 05:00:00,5.2,92.3,32.4
134,2021-07-05 06:00:00,5.2,92.3,32.4
135,2021-07-05 07:00:00,4.8,91.6,32.5
136,2021-07-05 08:00:00,5.9,88.3,33.0
137,2021-07-05 09:00:00,7.5,81.8,34.1
138,2021-07-05 10:00:00,7.5,81.1,34.3
139,2021-07-05 11:00:00,5.9,83.7,32.8
140,2021-07-05 12:00:00,1.8,95.9,29.0
141,2021-07-05 13:00:00,2.0,91.5,29.2
142,2021-07-05 14:00:00,4.3,80.6,32.2
143,2021-07-05 15:00:00,2.9,77.9,32.9
144,2021-07-05 16:00:00,3.0,76.2,33.4
145,2021-07-05 17:00:00,3.6,76.9,33.2
146,2021-07-05 18:00:00,3.8,79.8,32.8
147,2021-07-05 19:00:00,4.7,82.5,32.1
148,2021-07-05 20:00:00,5.4,83.7,31.7
149,2021-07-05 21:00:00,4.6,84.7,31.7
150,2021-07-05 22:00:00,6.0,85.3,31.5
151,2021-07-05 23:00:00,7.0,87.2,31.3
152,2021-07-06 00:00:00,4.5,87.4,31.2
153,2021-07-06 01:00:00,4.6,90.1,31.0
154,2021-07-06 02:00:00,4.7,92.1,30.8
155,2021-07-06 03:00:00,5.0,93.2,30.7
156,2021-07-06 04:00:00,5.9,93.7,30.6
157,2021-07-06 05:00:00,5.6,94.8,30.4
158,2021-07-06 06:00:00,6.0,96.0,30.4
159,2021-07-06 07:00:00,7.6,94.3,30.9
160,2021-07-06 08:00:00,11.5,92.0,31.4
161,2021-07-06 09:00:00,50.78,83.8,33.0
162,2021-07-06 10:00:00,10.1,68.5,36.5
163,2021-07-06 11:00:00,3.1,67.0,37.4
164,2021-07-06 12:00:00,2.4,65.3,37.5
165,2021-07-06 13:00:00,3.9,64.9,37.3
166,2021-07-06 14:00:00,2.0,61.8,37.5
167,2021-07-06 15:00:00,2.1,62.9,37.3
